==============================================================================
==============================================================================
Wed. Feb. 10 2016                  LANDSAT 5                       Time: 04:36
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 9991602090003_12564                          Path / Row - 34 / 32
Reference Image: L51AAA1186203060500_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 83.2%
Rank   2 -- 16.8%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0340321707   40.74805   -105.15375    -0.03     -0.18     0.18     1 
0340321720   40.74769   -104.67331     0.01      0.41     0.41     1 
0340321740   40.71069   -106.70498    -0.16      0.25     0.30     1 
0340321743   40.71228   -106.59422    -0.41      0.26     0.49     1 
0340321746   40.71375   -106.48344    -0.06     -0.14     0.15     1 
0340321747   40.71422   -106.44652    -0.33     -0.22     0.40     1 
0340321749   40.71513   -106.37266    -0.18     -0.14     0.23     1 
0340321759   40.71893   -106.00333     0.12      0.12     0.17     1 
0340321761   40.71954   -105.92946     0.00      0.52     0.52     2 
0340321762   40.71984   -105.89252     0.14      0.06     0.15     1 
0340321763   40.72012   -105.85559     0.28      0.29     0.40     1 
0340321769   40.72155   -105.63395     0.10      0.11     0.15     1 
0340321770   40.72174   -105.59701    -0.04      0.11     0.12     1 
0340321771   40.72193   -105.56007     0.09      0.02     0.10     1 
0340321772   40.72210   -105.52312     0.16      0.01     0.16     1 
0340321773   40.72226   -105.48618     0.15     -0.15     0.21     1 
0340321774   40.72241   -105.44924    -0.16     -0.24     0.29     1 
0340321775   40.72255   -105.41230     0.08     -0.26     0.27     1 
0340321776   40.72268   -105.37536    -0.06     -0.18     0.19     1 
0340321777   40.72279   -105.33841    -0.06     -0.09     0.11     1 
0340321778   40.72289   -105.30147    -0.01      0.00     0.01     1 
0340321779   40.72298   -105.26453     0.08      0.03     0.09     1 
0340321780   40.72306   -105.22758     0.10      0.01     0.10     1 
0340321781   40.72313   -105.19064     0.42     -0.20     0.47     1 
0340321785   40.72328   -105.04286     0.39      0.26     0.47     1 
0340321794   40.72292   -104.71037    -0.11     -0.14     0.18     1 
0340321812   40.68415   -106.81507     0.06      0.56     0.57     2 
0340321813   40.68473   -106.77816    -0.02      0.45     0.45     1 
0340321818   40.68742   -106.59362    -0.19      0.03     0.19     1 
0340321819   40.68793   -106.55671    -0.02     -0.42     0.42     1 
0340321822   40.68937   -106.44598    -0.25     -0.26     0.36     1 
0340321824   40.69027   -106.37215    -0.25     -0.27     0.37     1 
0340321825   40.69070   -106.33523    -0.05     -0.45     0.45     1 
0340321826   40.69112   -106.29832     0.27     -0.12     0.30     1 
0340321837   40.69497   -105.89219     0.02      0.58     0.58     2 
0340321838   40.69526   -105.85527     0.14      0.22     0.26     1 
0340321841   40.69602   -105.74449     0.07      0.05     0.09     1 
0340321842   40.69625   -105.70757     0.07     -0.09     0.12     1 
0340321843   40.69647   -105.67064    -0.16      0.28     0.33     1 
0340321844   40.69668   -105.63371    -0.15      0.30     0.34     1 
0340321845   40.69688   -105.59679    -0.13      0.10     0.17     1 
0340321846   40.69707   -105.55986    -0.08      0.09     0.12     1 
0340321847   40.69724   -105.52293    -0.20      0.15     0.25     1 
0340321848   40.69740   -105.48600    -0.35      0.01     0.35     1 
0340321849   40.69755   -105.44907    -0.40     -0.25     0.47     1 
