Tue. Feb.  9, 2016             LANDSAT 5                 Time: 22:35
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L17887241            Path/Row: 034 / 032

L0R Reference Image: L51AAA1186203060500_HDF.160410409
Acquisition Date: Jul 21, 1986

Band Number:  4

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001
035   031   09-12-2000
035   032   09-12-2000


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320212_02   39.729429 -107.005394  1978.096       0.000     0.000    17.756    23.580
0340320216_02   40.648691 -104.971850  1553.000       0.000     0.000   -13.826   -18.618
0340320219_02   41.042968 -106.619304  2595.247       0.000     0.000   -16.333    -8.249
0340320223_02   39.796262 -106.969493  2021.888       0.000     0.000     8.322    23.365
0340320226_02   40.962705 -104.921092  1805.311       0.000     0.000    -6.872    13.054
0340320227_02   40.673547 -106.346249  2474.487       0.000     0.000    -7.849    20.164
0340320230_02   40.847264 -105.672870  2728.257       0.000     0.000   -22.678     1.036
0340320238_02   40.346387 -105.532575  2442.664       0.000     0.000     6.475    10.700
0340320241_02   39.698161 -105.333355  2346.223       0.000     0.000   -26.413     2.461
0340320245_02   40.860304 -106.783205  2856.691       0.000     0.000   -36.809   -49.445
0340320246_02   40.339701 -105.130570  1550.000       0.000     0.000     3.400    -9.506
0340320247_02   39.617295 -106.173524  3479.229       0.000     0.000     0.400   -10.813
0340320248_02   40.733201 -106.717991  2937.858       0.000     0.000     3.996   -14.407
0340320251_02   39.538832 -105.371343  2784.627       0.000     0.000    -5.644    -8.783
0340320256_02   39.740795 -105.053104  1619.724       0.000     0.000    20.065    23.890
0340320257_02   39.944158 -105.207774  1727.328       0.000     0.000   -13.041     2.800
0340320259_02   40.514768 -105.884841  3141.208       0.000     0.000     5.836   -54.658
0340320260_02   39.838356 -105.084735  1650.901       0.000     0.000     0.891    -9.335
0340320261_02   40.192876 -105.177164  1546.721       0.000     0.000    -6.743   -15.631
0340320262_02   39.879478 -105.750321  2854.875       0.000     0.000     3.751    19.886
0340320266_02   40.853981 -106.100043  3184.903       0.000     0.000   -11.614     0.278
0340320275_02   40.616255 -105.042796  1523.319       0.000     0.000     9.812    15.942
0340320276_02   39.605473 -106.023066  2760.767       0.000     0.000    24.547   -22.917
0340320277_02   40.163808 -105.054489  1500.817       0.000     0.000   -18.020     9.178
0340320278_02   39.523611 -105.396742  3027.477       0.000     0.000    -1.463     4.066
0340320281_02   39.900412 -105.398556  2695.450       0.000     0.000    -8.537   -11.483
0340320285_02   40.748971 -106.320763  2444.850       0.000     0.000    17.604     4.986
0340320287_02   40.580072 -105.996648  2751.800       0.000     0.000   -19.205   -45.222
0340320293_02   40.304527 -105.881032  2916.162       0.000     0.000     2.835   -31.197
0340320294_02   40.626779 -105.832047  2874.001       0.000     0.000     0.043   -33.393
0340320298_02   40.524372 -104.995278  1464.000       0.000     0.000   -36.519   -13.226
0340320301_02   40.076166 -106.486751  2647.205       0.000     0.000   -26.781    35.915
0340320303_02   39.750123 -107.043109  2109.738       0.000     0.000     0.459     8.597
0340320304_02   39.621495 -105.156823  1764.518       0.000     0.000    15.676    -1.251
0340320305_02   39.987816 -105.836541  2534.772       0.000     0.000     0.228   -20.235
0340320307_02   40.262498 -105.863200  2625.000       0.000     0.000    14.939    -0.998
0340320308_02   39.866657 -106.286848  2415.792       0.000     0.000   -15.855   -36.366
0340320309_02   40.495784 -105.416218  2866.136       0.000     0.000     0.917    20.306
0340320311_02   40.078322 -105.677203  3582.748       0.000     0.000     9.509   -13.447
0340320316_02   40.687533 -106.304993  2460.984       0.000     0.000   -17.066    30.165
0340320317_02   40.975922 -105.110065  2032.099       0.000     0.000     7.039    -6.740
0340320318_02   40.556822 -105.787596  2884.746       0.000     0.000     5.293    -4.712
0340320320_02   40.368328 -105.149353  1557.391       0.000     0.000   -26.618    30.808
0340320321_02   40.502544 -105.780941  3072.997       0.000     0.000    31.060   -21.885
0340320333_02   40.448960 -105.038444  1498.000       0.000     0.000    39.553    14.674
0340320336_02   40.666437 -105.148242  1577.943       0.000     0.000     6.703     7.467
0340320337_02   40.169035 -106.316851  2375.631       0.000     0.000   -17.516   -50.862
0340320341_02   39.497249 -105.254238  2575.042       0.000     0.000    -4.238     8.708
0340320345_02   40.975279 -104.686805  1793.996       0.000     0.000    12.498     1.678
0340320348_02   39.786867 -107.089387  2393.589       0.000     0.000     5.610   -60.186
0340320349_02   40.061377 -105.902867  2461.729       0.000     0.000     3.096   -19.596
0340320352_02   39.827036 -105.249490  1839.027       0.000     0.000    14.596     3.171
0340320354_02   40.789350 -105.186206  1851.447       0.000     0.000    14.959    -0.051
0340320355_02   40.238595 -106.548841  2594.607       0.000     0.000     8.083    33.924
0340320356_02   40.176794 -104.986845  1474.948       0.000     0.000    11.572   -27.467
0340320357_02   40.225105 -105.127882  1541.390       0.000     0.000     2.619    -7.037
0340320358_02   40.617042 -106.033727  2629.609       0.000     0.000   -29.731   -26.939
0340320360_02   40.706502 -105.081209  1573.000       0.000     0.000   -11.876   -58.842
0340320362_02   39.534529 -105.085412  1644.000       0.000     0.000    46.912   -16.616
0340320363_02   41.022267 -105.208984  2216.000       0.000     0.000    -9.125    29.300
0340320364_02   40.690244 -106.524814  2511.739       0.000     0.000    -3.601   -55.658
0340320365_02   41.071102 -105.933681  2315.739       0.000     0.000     8.972   -22.726
0340320369_02   39.685557 -105.387871  2455.092       0.000     0.000   -34.646     3.333
0340320370_02   40.015520 -106.596160  2748.012       0.000     0.000     3.237    38.205
0340320371_02   40.781297 -105.148141  1683.698       0.000     0.000    -6.772    -6.726
0340320373_02   39.723049 -105.960395  3624.665       0.000     0.000    32.204     4.348
0340320375_02   39.793277 -106.198234  2538.331       0.000     0.000   -59.953   -13.951
0340320376_02   40.032042 -105.533638  2876.421       0.000     0.000    -1.216     9.662
0340320381_02   40.816091 -105.194819  1758.220       0.000     0.000   -12.788   -11.109
0340320383_02   40.382452 -106.622107  2848.355       0.000     0.000     6.293    29.519
0340320385_02   39.862799 -106.387086  2932.792       0.000     0.000   -12.434    -7.889
0340320386_02   40.137414 -105.209418  1563.162       0.000     0.000    -2.852    -4.584
0340320387_02   40.926658 -105.173764  1926.917       0.000     0.000    -3.674    10.160
0340320390_02   40.380153 -106.593073  2718.268       0.000     0.000    15.672    51.474
0340320394_02   40.272363 -105.297343  1751.479       0.000     0.000    -5.631   -12.575
0340320395_02   40.043030 -105.344524  2066.773       0.000     0.000   -10.092    -8.089
0340320396_02   40.061771 -105.400198  2432.385       0.000     0.000    -5.223    -5.783
