Thu. Mar.  8, 2018             LANDSAT 3                 Time: 17:18
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L866585            Path/Row: 036 / 032

L0R Reference Image: L31XXX1178183000101_HDF.180672315
Acquisition Date: Jul 02, 1978

Band Number:  7

GLS date for each WRS-2 path/row used:
Path  Row   Date
033   032   09-20-2002
033   033   09-14-2000
034   031   10-05-1999
034   032   09-24-2001
034   033   09-24-2001


Point_ID         Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                      Scan      Scan      In y      in x
                                                    Residual  Residual    dir       dir
                   (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)
0340320281_02   39.900412 -105.398556  2695.450       0.000     0.000   -18.454     8.083
0340320290_02   40.816452 -104.869330  1663.371       0.000     0.000   -16.894    13.972
0340320293_02   40.304527 -105.881032  2916.162       0.000     0.000   -27.319    15.151
0340320294_02   40.626779 -105.832047  2874.001       0.000     0.000   -28.867   -17.311
0340320296_02   39.622541 -105.850651  3607.722       0.000     0.000     0.077    -5.004
0340320297_02   40.350020 -105.076894  1546.983       0.000     0.000   -38.336   -29.877
0340320298_02   40.524372 -104.995278  1464.000       0.000     0.000   -12.474   -10.988
0340320304_02   39.621495 -105.156823  1764.518       0.000     0.000    -7.491    -2.983
0340320305_02   39.987816 -105.836541  2534.772       0.000     0.000   -27.231   -28.116
0340320307_02   40.262498 -105.863200  2625.000       0.000     0.000    24.063    34.389
0340320309_02   40.495784 -105.416218  2866.136       0.000     0.000   -48.805   -11.104
0340320311_02   40.078322 -105.677203  3582.748       0.000     0.000    -6.555   -30.317
0340320315_02   40.312789 -105.963403  2939.615       0.000     0.000    43.708    19.443
0340320317_02   40.975922 -105.110065  2032.099       0.000     0.000    31.447     8.849
0340320320_02   40.368328 -105.149353  1557.391       0.000     0.000   -47.306    25.125
0340320321_02   40.502544 -105.780941  3072.997       0.000     0.000    56.533    39.300
0340320327_02   40.323390 -105.922945  3216.028       0.000     0.000   109.830   -65.777
0340320330_02   40.637603 -105.936128  3445.908       0.000     0.000   -52.731   -39.375
0340320332_02   40.150242 -105.278494  1702.563       0.000     0.000    -9.121     4.689
0340320333_02   40.448960 -105.038444  1498.000       0.000     0.000    42.254     7.153
0340320336_02   40.666437 -105.148242  1577.943       0.000     0.000   -22.412   -22.641
0340320338_02   40.340497 -105.877968  2844.473       0.000     0.000   -21.284    -0.856
0340320340_02   40.442992 -105.080537  1527.854       0.000     0.000   -24.582   -14.621
0340320341_02   39.497249 -105.254238  2575.042       0.000     0.000   -12.294     5.346
0340320342_02   39.605893 -105.713813  3391.013       0.000     0.000    12.140   -15.074
0340320349_02   40.061377 -105.902867  2461.729       0.000     0.000   -17.194     9.288
0340320352_02   39.827036 -105.249490  1839.027       0.000     0.000    23.253    18.963
0340320354_02   40.789350 -105.186206  1851.447       0.000     0.000    16.845     2.618
0340320356_02   40.176794 -104.986845  1474.948       0.000     0.000    14.135   -17.771
0340320357_02   40.225105 -105.127882  1541.390       0.000     0.000    18.070     4.587
0340320360_02   40.706502 -105.081209  1573.000       0.000     0.000    -8.305   -51.651
0340320363_02   41.022267 -105.208984  2216.000       0.000     0.000   -28.845    26.852
0340320366_02   39.616186 -105.562235  3031.059       0.000     0.000     8.457    24.715
0340320369_02   39.685557 -105.387871  2455.092       0.000     0.000   -41.438    13.164
0340320371_02   40.781297 -105.148141  1683.698       0.000     0.000   -13.733     8.734
0340320373_02   39.723049 -105.960395  3624.665       0.000     0.000    39.416   -36.872
0340320376_02   40.032042 -105.533638  2876.421       0.000     0.000    -8.556     8.586
0340320380_02   40.489691 -105.912122  3328.098       0.000     0.000   -18.223    -6.420
0340320381_02   40.816091 -105.194819  1758.220       0.000     0.000   -14.620    -6.571
0340320386_02   40.137414 -105.209418  1563.162       0.000     0.000    16.844     2.316
0340320387_02   40.926658 -105.173764  1926.917       0.000     0.000    17.899     5.095
0340320394_02   40.272363 -105.297343  1751.479       0.000     0.000   -19.011     0.923
0340320395_02   40.043030 -105.344524  2066.773       0.000     0.000    -0.370    -4.673
0340320396_02   40.061771 -105.400198  2432.385       0.000     0.000    -0.627    15.366
0340320397_02   39.579059 -106.103368  2757.041       0.000     0.000     7.477    -6.937
