==============================================================================
==============================================================================
Thu. Mar. 8 2018                  LANDSAT 3                       Time: 23:18
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0101803081133_00026                          Path / Row - 36 / 32
Reference Image: L31XXX1178183000101_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 75.0%
Rank   2 -- 25.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0360321214   40.68769   -105.85517     0.07      0.15     0.17     1 
0360321215   40.68798   -105.81541     0.25     -0.14     0.28     1 
0360321218   40.68876   -105.69613     0.50     -0.19     0.54     2 
0360321219   40.68899   -105.65636     0.22      0.07     0.23     1 
0360321220   40.68921   -105.61660     0.36      0.64     0.74     2 
0360321223   40.68978   -105.49731     0.06      0.39     0.40     1 
0360321224   40.68995   -105.45754    -0.45      0.20     0.50     1 
0360321225   40.69010   -105.41778    -0.13      0.13     0.18     1 
0360321226   40.69024   -105.37801     0.35     -0.04     0.35     1 
0360321227   40.69036   -105.33825     0.42      0.26     0.49     1 
0360321228   40.69047   -105.29848     0.17      0.45     0.48     1 
0360321229   40.69056   -105.25872     0.12      0.08     0.14     1 
0360321230   40.69065   -105.21895     0.14     -0.02     0.15     1 
0360321234   40.69084   -105.05989     0.39      0.47     0.61     2 
0360321235   40.69085   -105.02012     0.48      0.25     0.54     2 
0360321248   40.68979   -104.50316    -0.21      0.06     0.22     1 
0360321260   40.68675   -104.02603     0.09      0.08     0.12     1 
0360321261   40.68641   -103.98627     0.13      0.07     0.15     1 
0360321263   40.68568   -103.90675     0.01      0.17     0.17     1 
0360321288   40.66090   -105.89458    -0.43      0.62     0.76     2 
0360321289   40.66121   -105.85483     0.14      0.19     0.24     1 
0360321292   40.66203   -105.73560     0.70     -0.00     0.70     2 
0360321293   40.66227   -105.69585     0.34      0.02     0.34     1 
0360321298   40.66330   -105.49711    -0.08      0.54     0.55     2 
0360321299   40.66346   -105.45736    -0.31      0.34     0.46     1 
0360321300   40.66362   -105.41761     0.07      0.13     0.15     1 
0360321301   40.66375   -105.37786     0.49      0.04     0.49     1 
0360321302   40.66387   -105.33812     0.44      0.19     0.48     1 
0360321303   40.66398   -105.29837     0.37      0.28     0.46     1 
